Province;City;Area;Address
Western Cape;Cape Town;Century City;Smartsurv House, Century City, Cape Town
Gauteng;Johannesburg;Morningside;173 Rivonia Road, Morningside, Sandton, South Africa, Rochester Place,  Block A Office 
Gauteng;Johannesburg;Alberton;60 Clinton Road, Alberton
Gauteng;Johannesburg;Richmond;Block F , Cnr Napier and Menton rds, Richmond , Johannesburg
Gauteng;Johannesburg;Vereeniging;46 Rhodes Ave, Vereeniging, 1939
Gauteng;Johannesburg;Kempton Park;Kempton square shopping centre, shop 61
Gauteng;Pretoria;Pencardia;Pencardia 1 Building, 1st Floor, 509 Pretorius St, Arcadia, Pretoria
Gauteng;Pretoria;Eugene Marais;663 5th Avenue, Les Marais, Pretoria, 0084
Gauteng;Pretoria;Woodhill;Parkview Shopping Centre, Garsfontein Drive
Gauteng;Pretoria;Faerie Glen;Life Faerie Glen Medical Centre, 398 Jacqueline Drive, Garsfontein
Gauteng;Pretoria;Centurion;58 Henri Road, Eldoraigne, Centurion
Gauteng;Johannesburg;Ruimsig;shop 22, ruimsig, boulevard, cnr hendrick potgieter, doreen road
Gauteng;Johannesburg;Honeydew;John Vorster & Christiaan De Wet Roads, Rooderport
Gauteng;Johannesburg;Honeydew;251 Beyers naude drive, Jhb, 2115
Gauteng;Johannesburg;Northriding;Intrercare Northlands cnr shopping centre, cnr witkoppen road and new market street, northriding
Gauteng;Johannesburg;Bedforview;Leicester depot, suite no 8 Leicester Medical Mews, 7 Leicester Road, Bedford Gardens
Gauteng;Johannesburg;Houghton;53 2nd Ave, Gate 2 , Houghton Estate , Hougton , Johannesburg
Gauteng;Johannesburg;Cheltondale;Suite 4  Orchard Heights, Cnr Orchard and Cheltondale Rd, Cheltondale , Johannesburg
Gauteng;Johannesburg;Berea;41 Bruce Street
Gauteng;Johannesburg;Robertsham;82 Benson St Cnr Bently St
Gauteng;Johannesburg;Jeppe;195 Jeppe St 14th Floor
Gauteng;Johannesburg;Germiston;8 Parks Street, Bedfordview, Germiston
Gauteng;Johannesburg;Parklands;Parklands Medical Suites, 23 Achielis Street, Pollak Park
Gauteng;Johannesburg;Brakpan;1 Hendrik Potgieter Rd, Dalview, Brakpan, 1541, South Africa
Gauteng;Johannesburg;Benoni;Glynnwood Medical Centre, 129 Howard Str, Benoni
Gauteng;Johannesburg;Boksburg;Palm Springs Medical Centre, 42 Van Wyk Louw Drive, Parkrand, Boksburg, 1459, South Africa
Gauteng;Johannesburg;Edenvale;45 Linksfield Road, Dowerglen, Lethabong (Ekurhuleni), 1609
Gauteng;Johannesburg;Bedforview;Parkstreet , Bedfordview, Johannesburg
Gauteng;Johannesburg;Krugersdorp;1 Boshoff Street, Krugersdorp, 1739
Gauteng;Johannesburg;Heidelberg;Life Suikerbosrand Hospital, Cnr H F Verwoerd, Heidelberg, Heidelberg
Limpopo;Lephalale;Lephalale;Corner Joe Slovo and Drif Street, Shop L 2 Sunset Point Plaza
Limpopo;Thabazimbi;Thabazimbi;13th Avenue Carpe Diem Centre
Limpopo; Polokwane Central;Polokwane;44A Grobler street, Polokwane Central
Limpopo;Tzaneen;Tzaneen;71 Wolksberg Road, Ivory Tusk Lodge
Limpopo;Thohoyandou;Thohoyandou;Corner Mpehephu & Mvusuludzo
Limpopo;Phalaborwa;Phalaborwa;71 Sealene Street, Phalaborwa
Limpopo;Mokopane;Mokopane;97 RUITER STREET, MOKOPANE
Limpopo;Groblersdal;Groblersdal;SHOP 6 TAUTES AVENUE, GROBLERSDAL
Free State;Bloemfontein;Westdene1;Room G03, Mediclinic Bloemfontein, Kellner St, Westdene, Bloemfontein, 9301
Free State;Bloemfontein;Westdene2;President Steyn 66, Westdene, Bloemfontein
Free State;Welkom;Welkom;Lategan street 30, Welkom
Northern Cape;Kimberley;Kimberley;39 Mac Dougall St, El Toro Park, Kimberley, 8301
Mpumalanga;Delmas;Delmas;Mareu Building
Mpumalanga;Standerton;Standerton;Cnr Kerk & Princess, Central Park number 5, Standerton
Mpumalanga;Ermelo;Ermelo;18 & 19 De Jager street, Shop number 8, Pine Centre
Mpumalanga;Kriel;Kriel;C/O BOKMAKIERIE & MOOILAAN
Mpumalanga;Trichardt;Trichardt;2nd floor room 210 Barney Molokwane Street, Trichardt
North West;Potchefstrom;Potchefstrom;Shop 24 Cnr Steve Biko & Meyer Street, Potchefstroom, 2531 
North West;Rustenburg;Rustenburg;102 Kock Street, Rustenburg, 2999
North West;Brits;Brits;Shop 19 Safari Ctr, Van Velden St, Brits
North West;Ifafi;Ifafi;Corner R511 and Beethoven Street 
North West;Potchefstrom;Potchefstrom;Shop 24 The Islands Shopping Mall, Provincial road R512
Kwa-Zulu Natal;Durban;Umhlanga;1d Umhlanga Ridge Blvd
Kwa-Zulu Natal;Durban;Greyville;33/34 Victor Lane, Greyville, Durban
Kwa-Zulu Natal;Pietermaritzbrug;Pietermaritzbrug;Suite 205 Midlands Medical Centre, 162-166 Masukwana St, Pietermaritzburg, 3201
Kwa-Zulu Natal;Hilton;Hilton Gardens;Hilton Gardens, Hilton, 3245
