Province,City,Area,Address,Simple Address,Latitude,Longitude
Western Cape,Cape Town,Century City,"Smartsurv House, Century City, Cape Town","Century City, Cape Town, Western Cape",-33.8898624,18.5066389
Gauteng,Johannesburg,Morningside,"173 Rivonia Road, Morningside, Sandton, South Africa, Rochester Place,  Block A Office ","Morningside, Johannesburg, Gauteng",-26.0809318,28.0620624
Gauteng,Johannesburg,Alberton,"60 Clinton Road, Alberton","Alberton, Johannesburg, Gauteng",-26.3223942,28.1239717
Gauteng,Johannesburg,Richmond,"Block F , Cnr Napier and Menton rds, Richmond , Johannesburg","Richmond, Johannesburg, Gauteng",-26.1809948,28.0149492
Gauteng,Johannesburg,Vereeniging,"46 Rhodes Ave, Vereeniging, 1939","Vereeniging, Johannesburg, Gauteng",-26.5969312,27.9014654
Gauteng,Johannesburg,Kempton Park,"Kempton square shopping centre, shop 61","Kempton Park, Johannesburg, Gauteng",-26.2041028,28.0473051
Gauteng,Pretoria,Pencardia,"Pencardia 1 Building, 1st Floor, 509 Pretorius St, Arcadia, Pretoria","Pencardia, Pretoria, Gauteng",-25.7471259,28.205076
Gauteng,Pretoria,Eugene Marais,"663 5th Avenue, Les Marais, Pretoria, 0084","Eugene Marais, Pretoria, Gauteng",-25.7092609,28.1905226
Gauteng,Pretoria,Woodhill,"Parkview Shopping Centre, Garsfontein Drive","Woodhill, Pretoria, Gauteng",-25.8174878,28.3184398
Gauteng,Pretoria,Faerie Glen,"Life Faerie Glen Medical Centre, 398 Jacqueline Drive, Garsfontein","Faerie Glen, Pretoria, Gauteng",-25.7857426,28.3154981
Gauteng,Pretoria,Centurion,"58 Henri Road, Eldoraigne, Centurion","Centurion, Pretoria, Gauteng",-25.864029,28.0888578
Gauteng,Johannesburg,Ruimsig,"shop 22, ruimsig, boulevard, cnr hendrick potgieter, doreen road","Ruimsig, Johannesburg, Gauteng",-26.0819964,27.8633774
Gauteng,Johannesburg,Honeydew,"John Vorster & Christiaan De Wet Roads, Rooderport","Honeydew, Johannesburg, Gauteng",-26.0791528,27.9256325
Gauteng,Johannesburg,Honeydew,"251 Beyers naude drive, Jhb, 2115","Honeydew, Johannesburg, Gauteng",-26.0791528,27.9256325
Gauteng,Johannesburg,Northriding,"Intrercare Northlands cnr shopping centre, cnr witkoppen road and new market street, northriding","Northriding, Johannesburg, Gauteng",-26.0523197,27.9615857
Gauteng,Johannesburg,Bedforview,"Leicester depot, suite no 8 Leicester Medical Mews, 7 Leicester Road, Bedford Gardens","Bedforview, Johannesburg, Gauteng",-26.1716908,28.1327491
Gauteng,Johannesburg,Houghton,"53 2nd Ave, Gate 2 , Houghton Estate , Hougton , Johannesburg","Houghton, Johannesburg, Gauteng",-26.1648722,28.0625177
Gauteng,Johannesburg,Cheltondale,"Suite 4  Orchard Heights, Cnr Orchard and Cheltondale Rd, Cheltondale , Johannesburg","Cheltondale, Johannesburg, Gauteng",-26.1515931,28.0837364
Gauteng,Johannesburg,Berea,41 Bruce Street,"Berea, Johannesburg, Gauteng",-26.1854617,28.0538045
Gauteng,Johannesburg,Robertsham,82 Benson St Cnr Bently St,"Robertsham, Johannesburg, Gauteng",-26.245369,28.0154995
Gauteng,Johannesburg,Jeppe,195 Jeppe St 14th Floor,"Jeppe, Johannesburg, Gauteng",-26.2017942,28.04061
Gauteng,Johannesburg,Germiston,"8 Parks Street, Bedfordview, Germiston","Germiston, Johannesburg, Gauteng",-26.2258734,28.1707794
Gauteng,Johannesburg,Parklands,"Parklands Medical Suites, 23 Achielis Street, Pollak Park","Parklands, Johannesburg, Gauteng",-26.1463855,28.0369801
Gauteng,Johannesburg,Brakpan,"1 Hendrik Potgieter Rd, Dalview, Brakpan, 1541, South Africa","Brakpan, Johannesburg, Gauteng",-26.2575229,28.3166577
Gauteng,Johannesburg,Benoni,"Glynnwood Medical Centre, 129 Howard Str, Benoni","Benoni, Johannesburg, Gauteng",-26.2041028,28.0473051
Gauteng,Johannesburg,Boksburg,"Palm Springs Medical Centre, 42 Van Wyk Louw Drive, Parkrand, Boksburg, 1459, South Africa","Boksburg, Johannesburg, Gauteng",-26.2041028,28.0473051
Gauteng,Johannesburg,Edenvale,"45 Linksfield Road, Dowerglen, Lethabong (Ekurhuleni), 1609","Edenvale, Johannesburg, Gauteng",-26.1450825,28.1561533
Gauteng,Johannesburg,Bedforview,"Parkstreet , Bedfordview, Johannesburg","Bedforview, Johannesburg, Gauteng",-26.1716908,28.1327491
Gauteng,Johannesburg,Krugersdorp,"1 Boshoff Street, Krugersdorp, 1739","Krugersdorp, Johannesburg, Gauteng",-26.2041028,28.0473051
Gauteng,Johannesburg,Heidelberg,"Life Suikerbosrand Hospital, Cnr H F Verwoerd, Heidelberg, Heidelberg","Heidelberg, Johannesburg, Gauteng",-26.2546599,28.111529
Limpopo,Lephalale,Lephalale,"Corner Joe Slovo and Drif Street, Shop L 2 Sunset Point Plaza","Lephalale, Lephalale, Limpopo",-23.6664659,27.7448285
Limpopo,Thabazimbi,Thabazimbi,13th Avenue Carpe Diem Centre,"Thabazimbi, Thabazimbi, Limpopo",-24.5828411,27.4027743
